Exchange,Symbol,Company Name,Token,Series/Group
BSE,ADANIGREEN,ADANIGREEN,541450,BSE_EQ
BSE,ADANIPORTS,ADANIPORTS,532921,BSE_EQ
BSE,ADANIPOWER,ADANIPOWER,533096,BSE_EQ
BSE,ADARSHPL,ADARSHPL,526711,BSE_EQ
BSE,ADCINDIA,ADCINDIA,523411,BSE_EQ
BSE,ADCON,ADCON,539506,BSE_EQ
BSE,ADCOUNTY,ADCOUNTY,544435,BSE_EQ
BSE,ADDIND,ADDIND,507852,BSE_EQ
BSE,ADESHWAR,ADESHWAR,543309,BSE_EQ
BSE,ADFFOODS,ADFFOODS,519183,BSE_EQ
BSE,ADHBHUTIN,ADHBHUTIN,539189,BSE_EQ
BSE,ADHHATA,ADHHATA,531286,BSE_EQ
BSE,ADINATH,ADINATH,514113,BSE_EQ
BSE,ADISHAKTI,ADISHAKTI,543377,BSE_EQ
BSE,ADITYA,ADITYA,513513,BSE_EQ
BSE,ADITYASP,ADITYASP,521141,BSE_EQ
BSE,ADL,ADL,543231,BSE_EQ
BSE,ADLINE,ADLINE,524604,BSE_EQ
BSE,ADMACH,ADMACH,544669,BSE_EQ
BSE,ADMANUM,ADMANUM,511359,BSE_EQ
BSE,ADON,ADON,544809,BSE_EQ
BSE,ADOR,ADOR,517041,BSE_EQ
BSE,ADROITINFO,ADROITINFO,532172,BSE_EQ
BSE,ADSDIAG,ADSDIAG,523031,BSE_EQ
BSE,ADSL,ADSL,532875,BSE_EQ
BSE,ADTECH,ADTECH,544185,BSE_EQ
BSE,ADVAIT,ADVAIT,543230,BSE_EQ
BSE,ADVANCE,ADVANCE,544562,BSE_EQ
BSE,ADVANIHOTR,ADVANIHOTR,523269,BSE_EQ
BSE,ADVENTHTL,ADVENTHTL,544446,BSE_EQ
BSE,ADVENZYMES,ADVENZYMES,540025,BSE_EQ
BSE,ADVIKCA,ADVIKCA,539773,BSE_EQ
BSE,ADVLIFE,ADVLIFE,521048,BSE_EQ
BSE,ADVMULT,ADVMULT,526331,BSE_EQ
BSE,ADVPETR-B,ADVPETR-B,506947,BSE_EQ
BSE,AEGISLOG,AEGISLOG,500003,BSE_EQ
BSE,AEGISVOPAK,AEGISVOPAK,544407,BSE_EQ
BSE,AEIM,AEIM,526443,BSE_EQ
BSE,AEL,AEL,539196,BSE_EQ
BSE,AEONXDIGI,AEONXDIGI,524594,BSE_EQ
BSE,AEPL,AEPL,542670,BSE_EQ
BSE,AEQUS,AEQUS,544634,BSE_EQ
BSE,AEROENTER,AEROENTER,511076,BSE_EQ
BSE,AEROFLEX,AEROFLEX,543972,BSE_EQ
BSE,AERONEU,AERONEU,543743,BSE_EQ
BSE,AERPACE,AERPACE,534733,BSE_EQ
BSE,AETHER,AETHER,543534,BSE_EQ
BSE,AFCOM,AFCOM,544224,BSE_EQ
BSE,AFCONS,AFCONS,544280,BSE_EQ
BSE,AFEL,AFEL,538351,BSE_EQ
BSE,AFFLE,AFFLE,542752,BSE_EQ
BSE,AFFORDABLE,AFFORDABLE,541402,BSE_EQ
BSE,AFIL,AFIL,544200,BSE_EQ
BSE,AFLTD,AFLTD,544767,BSE_EQ
BSE,AFSL,AFSL,543712,BSE_EQ
BSE,AGARIND,AGARIND,531921,BSE_EQ
BSE,AGARWAL,AGARWAL,530765,BSE_EQ
BSE,AGARWALEYE,AGARWALEYE,544350,BSE_EQ
BSE,AGI,AGI,500187,BSE_EQ
BSE,AGIIL,AGIIL,539042,BSE_EQ
BSE,AGIOPAPER,AGIOPAPER,516020,BSE_EQ
BSE,AGL,AGL,544602,BSE_EQ
BSE,AGOL,AGOL,542579,BSE_EQ
BSE,AGRIBIO,AGRIBIO,539546,BSE_EQ
BSE,AGRITECH,AGRITECH,537292,BSE_EQ
BSE,AGVENTURES,AGVENTURES,506579,BSE_EQ
BSE,AHASOLAR,AHASOLAR,543941,BSE_EQ
BSE,AHCL,AHCL,544497,BSE_EQ
BSE,AHLEAST,AHLEAST,533227,BSE_EQ
BSE,AHLUCONT,AHLUCONT,532811,BSE_EQ
BSE,AHLWEST,AHLWEST,533221,BSE_EQ
BSE,AHMDSTE,AHMDSTE,522273,BSE_EQ
BSE,AIAENG,AIAENG,532683,BSE_EQ
BSE,AICHAMP,AICHAMP,532806,BSE_EQ
BSE,AIHL,AIHL,542524,BSE_EQ
BSE,AIIL,AIIL,539177,BSE_EQ
BSE,AIKPIPES,AIKPIPES,544072,BSE_EQ
BSE,AIMCOPEST,AIMCOPEST,524288,BSE_EQ
BSE,AIML,AIML,534064,BSE_EQ
BSE,AIRAN,AIRAN,543811,BSE_EQ
BSE,AIRFLOA,AIRFLOA,544516,BSE_EQ
BSE,AJANTPHARM,AJANTPHARM,532331,BSE_EQ
BSE,AJANTSOY,AJANTSOY,519216,BSE_EQ
BSE,AJAXENGG,AJAXENGG,544356,BSE_EQ
